ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(2000, 3)",-0.03147501004445824,10,meeting minutes,,UST,19,62,1 Mo,y_bl,0.009849213028724782
"(2000, 3)",-0.03147501004445824,10,speech,Governor Laurence H. Meyer,UST,19,84,1 Mo,y_bl,0.009849213028724782
"(2000, 3)",-0.03147501004445824,10,meeting minutes,,UST,19,62,1 Mo,y_probe,0.035857257212960604
"(2000, 3)",-0.03147501004445824,10,speech,Governor Laurence H. Meyer,UST,19,84,1 Mo,y_probe,0.006670721967310936
"(2000, 4)",-0.05462695309848794,10,speech,Chairman Alan Greenspan,UST,19,22,1 Mo,y_bl,-0.023592079842724014
"(2000, 4)",-0.05462695309848794,10,speech,Governor Laurence H. Meyer,UST,19,135,1 Mo,y_bl,-0.023592079842724014
"(2000, 4)",-0.05462695309848794,10,speech,Chairman Alan Greenspan,UST,19,22,1 Mo,y_probe,0.02048087128115794
"(2000, 4)",-0.05462695309848794,10,speech,Governor Laurence H. Meyer,UST,19,135,1 Mo,y_probe,0.022388380732477776
"(2000, 5)",0.06897148790268796,10,meeting minutes,,UST,19,67,1 Mo,y_bl,0.002672349571929548
"(2000, 5)",0.06897148790268796,10,meeting minutes,,UST,19,67,1 Mo,y_probe,0.06469533192546086
"(2000, 6)",-0.040742086488524856,10,meeting minutes,,UST,19,74,1 Mo,y_bl,-0.031239401791160467
"(2000, 6)",-0.040742086488524856,10,speech,Governor Laurence H. Meyer,UST,19,142,1 Mo,y_bl,-0.031239401791160467
"(2000, 6)",-0.040742086488524856,10,meeting minutes,,UST,19,74,1 Mo,y_probe,0.031255294938832036
"(2000, 6)",-0.040742086488524856,10,speech,Governor Laurence H. Meyer,UST,19,142,1 Mo,y_probe,0.031435335217021576
"(2000, 8)",-0.036742855231497895,10,meeting minutes,,UST,19,78,1 Mo,y_bl,-0.01427219433896104
"(2000, 8)",-0.036742855231497895,10,meeting minutes,,UST,19,78,1 Mo,y_probe,0.009023995750315289
"(2000, 10)",0.009146047767068262,10,meeting minutes,,UST,19,65,1 Mo,y_bl,0.012555346349068785
"(2000, 10)",0.009146047767068262,10,speech,Chairman Alan Greenspan,UST,19,57,1 Mo,y_bl,0.012555346349068785
"(2000, 10)",0.009146047767068262,10,speech,Governor Laurence H. Meyer,UST,19,346,1 Mo,y_bl,0.012555346349068785
"(2000, 10)",0.009146047767068262,10,meeting minutes,,UST,19,65,1 Mo,y_probe,-0.020971826933765352
"(2000, 10)",0.009146047767068262,10,speech,Chairman Alan Greenspan,UST,19,57,1 Mo,y_probe,0.034512017272905454
"(2000, 10)",0.009146047767068262,10,speech,Governor Laurence H. Meyer,UST,19,346,1 Mo,y_probe,-0.013454143165131953
"(2000, 11)",0.008123881493609098,10,meeting minutes,,UST,19,77,1 Mo,y_bl,-0.02556481124235391
"(2000, 11)",0.008123881493609098,10,meeting minutes,,UST,19,77,1 Mo,y_probe,0.005169738730989465
"(2000, 12)",-0.053589022016680636,10,meeting minutes,,UST,19,70,1 Mo,y_bl,-0.004366510164914963
"(2000, 12)",-0.053589022016680636,10,speech,Chairman Alan Greenspan,UST,19,1,1 Mo,y_bl,-0.004366510164914963
"(2000, 12)",-0.053589022016680636,10,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,19,57,1 Mo,y_bl,-0.004366510164914963
"(2000, 12)",-0.053589022016680636,10,meeting minutes,,UST,19,70,1 Mo,y_probe,-0.024543164949349366
"(2000, 12)",-0.053589022016680636,10,speech,Chairman Alan Greenspan,UST,19,1,1 Mo,y_probe,-0.31592635396670643
"(2000, 12)",-0.053589022016680636,10,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,19,57,1 Mo,y_probe,0.007976340941324635
"(2001, 1)",0.014896858279086267,10,meeting minutes,,UST,19,65,1 Mo,y_bl,0.0017768228472292607
"(2001, 1)",0.014896858279086267,10,meeting minutes,,UST,19,65,1 Mo,y_probe,-0.04319356618295849
"(2001, 2)",-0.023530497410193234,10,speech,Governor Edward M. Gramlich,UST,19,124,1 Mo,y_bl,-0.000970391366824678
"(2001, 2)",-0.023530497410193234,10,speech,Governor Edward M. Gramlich,UST,19,124,1 Mo,y_probe,-0.015915348361160608
"(2001, 3)",-0.029741969198738172,10,meeting minutes,,UST,19,47,1 Mo,y_bl,-0.01933961584492223
"(2001, 3)",-0.029741969198738172,10,meeting minutes,,UST,19,47,1 Mo,y_probe,-0.02584299447258706
"(2001, 5)",0.09141686464071243,10,meeting minutes,,UST,19,66,1 Mo,y_bl,0.006033508468701606
