ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(2002, 1)",0.004238484578380053,train,10,1,meeting minutes,,UST,5,69,1 Yr,y_bl,-0.13226306551346043
"(2002, 1)",0.004238484578380053,train,10,1,meeting minutes,,UST,5,69,1 Yr,y_probe,-0.01310898605928392
"(2002, 3)",0.157348635862575,train,10,1,meeting minutes,,UST,5,56,1 Yr,y_bl,0.03518844870960062
"(2002, 3)",0.157348635862575,train,10,1,meeting minutes,,UST,5,56,1 Yr,y_probe,-0.008126602694381759
"(2002, 5)",-0.13957038984129147,train,10,1,meeting minutes,,UST,5,57,1 Yr,y_bl,-0.02760879182043589
"(2002, 5)",-0.13957038984129147,train,10,1,meeting minutes,,UST,5,57,1 Yr,y_probe,-0.02212109042995427
"(2002, 6)",-0.10194003834299388,train,10,1,meeting minutes,,UST,5,56,1 Yr,y_bl,-0.10864900156869423
"(2002, 6)",-0.10194003834299388,train,10,1,meeting minutes,,UST,5,56,1 Yr,y_probe,-0.01450711156225728
"(2002, 8)",-0.18721154208814567,train,10,1,meeting minutes,,UST,5,55,1 Yr,y_bl,-0.08930260226393691
"(2002, 8)",-0.18721154208814567,train,10,1,meeting minutes,,UST,5,55,1 Yr,y_probe,-0.026214113337745443
"(2002, 9)",-0.011834457647003749,train,10,1,meeting minutes,,UST,5,57,1 Yr,y_bl,-0.060821131496058216
"(2002, 9)",-0.011834457647003749,train,10,1,meeting minutes,,UST,5,57,1 Yr,y_probe,-0.017245609129415078
"(2002, 10)",0.06064510925684018,train,10,1,speech,Chairman Alan Greenspan,UST,5,47,1 Yr,y_bl,-0.026124960570760566
"(2002, 10)",0.06064510925684018,train,10,1,speech,Governor Ben S. Bernanke,UST,5,107,1 Yr,y_bl,-0.026124960570760566
"(2002, 10)",0.06064510925684018,train,10,1,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,5,55,1 Yr,y_bl,-0.026124960570760566
"(2002, 10)",0.06064510925684018,train,10,1,speech,Chairman Alan Greenspan,UST,5,47,1 Yr,y_probe,0.01435209488838919
"(2002, 10)",0.06064510925684018,train,10,1,speech,Governor Ben S. Bernanke,UST,5,107,1 Yr,y_probe,0.00988983700172501
"(2002, 10)",0.06064510925684018,train,10,1,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,5,55,1 Yr,y_probe,0.01682744888612547
