ym,y,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(2000, 12)",0.002293578987099032,speech,"Vice Chairman Roger W. Ferguson, Jr.",CPI,6,57,,y_probe,0.0026538096370960678
"(2001, 1)",0.005711037795514962,meeting minutes,,CPI,6,65,,y_bl,0.003415190008100876
"(2001, 1)",0.005711037795514962,meeting minutes,,CPI,6,65,,y_probe,0.00226486642124415
"(2001, 2)",0.0022753138371349735,speech,Governor Edward M. Gramlich,CPI,6,124,,y_bl,0.0027178742021711478
"(2001, 2)",0.0022753138371349735,speech,Governor Edward M. Gramlich,CPI,6,124,,y_probe,0.0026895020032153315
"(2001, 3)",0.0005680204640086117,meeting minutes,,CPI,6,47,,y_bl,0.002884142806308001
"(2001, 3)",0.0005680204640086117,meeting minutes,,CPI,6,47,,y_probe,0.002322122613619362
"(2001, 5)",0.006791197578002617,meeting minutes,,CPI,6,66,,y_bl,0.002106389298928122
"(2001, 5)",0.006791197578002617,speech,Governor Laurence H. Meyer,CPI,6,59,,y_bl,0.002106389298928122
"(2001, 5)",0.006791197578002617,meeting minutes,,CPI,6,66,,y_probe,0.002437648104165797
"(2001, 5)",0.006791197578002617,speech,Governor Laurence H. Meyer,CPI,6,59,,y_probe,0.002823344176637301
"(2001, 6)",0.002253522080443382,meeting minutes,,CPI,6,78,,y_bl,0.0035484106443711234
"(2001, 6)",0.002253522080443382,speech,"Vice Chairman Roger W. Ferguson, Jr.",CPI,6,52,,y_bl,0.0035484106443711234
"(2001, 6)",0.002253522080443382,meeting minutes,,CPI,6,78,,y_probe,0.002244631190083513
"(2001, 6)",0.002253522080443382,speech,"Vice Chairman Roger W. Ferguson, Jr.",CPI,6,52,,y_probe,0.0027048100220676743
"(2001, 7)",-0.001689665285127262,speech,Governor Laurence H. Meyer,CPI,6,259,,y_bl,0.0022633600691126525
"(2001, 7)",-0.001689665285127262,speech,Governor Laurence H. Meyer,CPI,6,259,,y_probe,0.00214484506649715
"(2001, 8)",0.0,meeting minutes,,CPI,6,52,,y_bl,0.0018625771869990398
"(2001, 8)",0.0,meeting minutes,,CPI,6,52,,y_probe,0.002218040598205031
"(2001, 10)",0.0011267606825908771,meeting minutes,,CPI,6,56,,y_bl,0.0008261733704941355
"(2001, 10)",0.0011267606825908771,speech,Chairman Alan Greenspan,CPI,6,25,,y_bl,0.0008261733704941355
"(2001, 10)",0.0011267606825908771,speech,Governor Laurence H. Meyer,CPI,6,28,,y_bl,0.0008261733704941355
"(2001, 10)",0.0011267606825908771,meeting minutes,,CPI,6,56,,y_probe,0.002234290027212354
"(2001, 10)",0.0011267606825908771,speech,Chairman Alan Greenspan,CPI,6,25,,y_probe,0.0026451952989583276
"(2001, 10)",0.0011267606825908771,speech,Governor Laurence H. Meyer,CPI,6,28,,y_probe,0.0023284927197725794
"(2001, 11)",-0.0005632216425990322,meeting minutes,,CPI,6,49,,y_bl,0.0025723060644908626
"(2001, 11)",-0.0005632216425990322,speech,Governor Edward M. Gramlich,CPI,6,59,,y_bl,0.0025723060644908626
"(2001, 11)",-0.0005632216425990322,meeting minutes,,CPI,6,49,,y_probe,0.0022876769557888406
"(2001, 11)",-0.0005632216425990322,speech,Governor Edward M. Gramlich,CPI,6,59,,y_probe,0.0024550306596641124
"(2001, 12)",-0.000563539039991845,meeting minutes,,CPI,6,58,,y_bl,0.0021874342658713235
"(2001, 12)",-0.000563539039991845,speech,Governor Laurence H. Meyer,CPI,6,118,,y_bl,0.0021874342658713235
"(2001, 12)",-0.000563539039991845,meeting minutes,,CPI,6,58,,y_probe,0.0022243173566463092
"(2001, 12)",-0.000563539039991845,speech,Governor Laurence H. Meyer,CPI,6,118,,y_probe,0.002216918092940431
"(2002, 1)",0.001689665285127262,meeting minutes,,CPI,6,69,,y_bl,0.001532038474863739
"(2002, 1)",0.001689665285127262,meeting minutes,,CPI,6,69,,y_probe,0.0022069655194592117
"(2002, 3)",0.004491866059087357,meeting minutes,,CPI,6,56,,y_bl,0.0021842009350524203
"(2002, 3)",0.004491866059087357,meeting minutes,,CPI,6,56,,y_probe,0.0023820780483240498
"(2002, 5)",0.005586606708639863,meeting minutes,,CPI,6,57,,y_bl,0.003490828344543359
"(2002, 5)",0.005586606708639863,meeting minutes,,CPI,6,57,,y_probe,0.00258196874363799
"(2002, 6)",0.0005569479397662391,meeting minutes,,CPI,6,56,,y_bl,0.0035464406282181946
"(2002, 6)",0.0005569479397662391,meeting minutes,,CPI,6,56,,y_probe,0.002475505593991729
"(2002, 8)",0.004998621904836575,meeting minutes,,CPI,6,55,,y_bl,0.0013765293490051091
"(2002, 8)",0.004998621904836575,meeting minutes,,CPI,6,55,,y_probe,0.0025242159608824103
"(2002, 9)",0.0016606701851404893,meeting minutes,,CPI,6,57,,y_bl,0.003421192225262193
"(2002, 9)",0.0016606701851404893,meeting minutes,,CPI,6,57,,y_probe,0.0023227076947212643
"(2002, 10)",0.0022099456508026805,speech,Chairman Alan Greenspan,CPI,6,47,,y_bl,0.0013367851431378358
"(2002, 10)",0.0022099456508026805,speech,Governor Ben S. Bernanke,CPI,6,107,,y_bl,0.0013367851431378358
"(2002, 10)",0.0022099456508026805,speech,"Vice Chairman Roger W. Ferguson, Jr.",CPI,6,55,,y_bl,0.0013367851431378358
"(2002, 10)",0.0022099456508026805,speech,Chairman Alan Greenspan,CPI,6,47,,y_probe,0.00269616805629063
"(2002, 10)",0.0022099456508026805,speech,Governor Ben S. Bernanke,CPI,6,107,,y_probe,0.0024913380788365714
"(2002, 10)",0.0022099456508026805,speech,"Vice Chairman Roger W. Ferguson, Jr.",CPI,6,55,,y_probe,0.0026419767852799638
"(2002, 11)",0.0016542600960258724,meeting minutes,,CPI,6,55,,y_bl,0.0036718468081761517
"(2002, 11)",0.0016542600960258724,speech,Governor Donald L. Kohn,CPI,6,29,,y_bl,0.0036718468081761517
"(2002, 11)",0.0016542600960258724,meeting minutes,,CPI,6,55,,y_probe,0.002222722834333909
"(2002, 11)",0.0016542600960258724,speech,Governor Donald L. Kohn,CPI,6,29,,y_probe,0.0026031720596703706
"(2002, 12)",0.0016515280384732378,meeting minutes,,CPI,6,50,,y_bl,0.0013098808597009901
"(2002, 12)",0.0016515280384732378,speech,Chairman Alan Greenspan,CPI,6,70,,y_bl,0.0013098808597009901
"(2002, 12)",0.0016515280384732378,meeting minutes,,CPI,6,50,,y_probe,0.0023138742897483543
"(2002, 12)",0.0016515280384732378,speech,Chairman Alan Greenspan,CPI,6,70,,y_probe,0.002457903077308505
"(2003, 1)",0.004390786417490133,meeting minutes,,CPI,6,48,,y_bl,0.00284191578014415
